                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.85435,                 3.2528,                0.81381,                 1.0281,                0.94466,                0.56889,                0.75892,                0.67632,                 0.8344,                0.49414,                0.66846,                0.41011,                0.81335,                 3.1919,                 0.6434,                0.96784,             0.00010321,             0.00010321,             0.00010321
                     69,                0.89277,                 3.3343,                0.82002,                 1.0403,                 0.9446,                0.58464,                 0.7677,                0.68009,                0.84094,                0.51442,                0.68011,                0.41161,                0.81074,                 3.1852,                0.64297,                0.96443,             0.00010298,             0.00010298,             0.00010298
                     70,                0.91975,                 3.3656,                0.86593,                 1.0522,                0.94671,                0.58634,                0.76785,                0.67977,                0.84715,                0.51686,                0.68778,                 0.4193,                0.81096,                 3.1767,                0.64078,                0.96137,             0.00010274,             0.00010274,             0.00010274
                     71,                0.87918,                 3.2993,                0.81057,                 1.0448,                0.94743,                0.57905,                0.76486,                0.67811,                0.85513,                0.51583,                  0.692,                0.42233,                0.81019,                 3.1687,                0.63699,                0.95889,             0.00010251,             0.00010251,             0.00010251
                     72,                  0.916,                 3.2376,                 0.8544,                 1.0557,                0.94602,                0.57194,                0.76088,                0.67673,                0.85793,                0.51178,                0.68949,                0.43001,                0.81048,                 3.1612,                0.63238,                0.96036,             0.00010227,             0.00010227,             0.00010227
                     73,                 0.9207,                 3.3349,                0.82569,                 1.0552,                0.93381,                0.57089,                0.75302,                0.67267,                0.84799,                0.51514,                0.68313,                0.43097,                0.80547,                  3.147,                0.62855,                0.95873,             0.00010204,             0.00010204,             0.00010204
                     74,                0.91559,                 3.3567,                0.86562,                 1.0483,                 0.9324,                0.59225,                0.76269,                0.67906,                0.84969,                0.53665,                0.69282,                0.43544,                0.80456,                 3.1367,                 0.6276,                0.95837,              0.0001018,              0.0001018,              0.0001018
                     75,                0.86281,                 3.1658,                0.81762,                 1.0228,                0.92234,                0.62061,                 0.7729,                0.68589,                0.83727,                0.56227,                0.70315,                0.43151,                0.80728,                 3.1306,                0.63589,                0.95789,             0.00010156,             0.00010156,             0.00010156
                     76,                0.87097,                 3.1464,                0.82294,                 1.0381,                0.92664,                0.63036,                0.77889,                0.68443,                0.83289,                0.56196,                0.70289,                0.43468,                 0.8125,                 3.1198,                0.64018,                0.95802,             0.00010133,             0.00010133,             0.00010133
                     77,                0.85154,                 3.2255,                0.77299,                 1.0196,                0.92623,                0.62509,                0.77658,                0.68072,                0.83849,                0.56038,                0.70725,                0.43108,                0.80757,                 3.1105,                0.63697,                0.95741,             0.00010109,             0.00010109,             0.00010109
                     78,                 0.8918,                 3.2321,                 0.8309,                 1.0271,                0.92359,                0.63359,                 0.7798,                0.68196,                 0.8416,                0.57613,                0.71642,                0.43161,                0.80322,                 3.1073,                0.62867,                0.95766,             0.00010086,             0.00010086,             0.00010086
                     79,                 0.8853,                 3.1443,                0.82948,                 1.0545,                0.92305,                0.62846,                0.77713,                0.68473,                0.83081,                0.56513,                0.70571,                 0.4308,                 0.8003,                 3.1022,                 0.6213,                0.95649,             0.00010062,             0.00010062,             0.00010062
                     80,                0.86914,                 3.1686,                0.80439,                 1.0312,                0.92314,                 0.6252,                0.77711,                0.68175,                0.82967,                 0.5619,                0.70442,                0.42688,                0.80019,                 3.0905,                0.62488,                0.95704,             0.00010039,             0.00010039,             0.00010039
                     81,                0.89218,                 3.2838,                0.84244,                 1.0443,                 0.9301,                0.62631,                0.78063,                0.68821,                0.84499,                0.56731,                0.71223,                0.42982,                0.79933,                 3.0808,                 0.6227,                0.95574,             0.00010015,             0.00010015,             0.00010015
                     82,                0.88291,                 3.2342,                0.80908,                 1.0355,                0.94301,                0.62429,                0.78677,                0.69522,                0.86529,                 0.5716,                0.72406,                0.43365,                0.79573,                 3.0624,                0.62027,                0.95372,             9.9915e-05,             9.9915e-05,             9.9915e-05
                     83,                0.84933,                 3.1229,                0.78679,                 1.0359,                0.94321,                0.62311,                0.78577,                0.69096,                0.86337,                0.56807,                0.72373,                0.43295,                0.79066,                 3.0555,                0.61734,                0.95159,             9.9679e-05,             9.9679e-05,             9.9679e-05
                     84,                0.89226,                  3.232,                0.82431,                 1.0447,                0.92416,                0.63414,                0.78426,                 0.6887,                 0.8419,                0.57553,                0.71803,                0.44152,                0.79301,                 3.0476,                0.62029,                 0.9521,             9.9444e-05,             9.9444e-05,             9.9444e-05
